Timestamp,Year of Study,Department,Gender,1. Difficulty Falling Asleep,2. Avg Sleep Hours,3. Waking at Night,4. Sleep Quality,5. Concentration Issues,6. Daytime Fatigue,7. Classes Missed (per week),8. Assignment Impact,9. Screen Time Before Bed,10. Caffeine Use,11. Physical Activity,12. Stress Level,13. Academic Performance
"15/4/2026, 9:44:29 am",second year,cse,male,sometimes (3-4 times a week),5-6 hours,often (5-6 times a week),very good,often,rarely,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),never,sometimes (3-4 times a week),high stress,average
"15/4/2026, 9:44:35 am",first year,cse,male,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,rarely,rarely,never,severe impact,every night,every day,never,high stress,average
"15/4/2026, 9:44:37 am",second year,other,male,often (5-6 times a week),6-7 hours,often (5-6 times a week),good,always,often,rarely (1-2 times a month),minor impact,sometimes (3-4 times a week),rarely (1-2 times a week),often (5-6 times a week),high stress,average
"15/4/2026, 9:44:39 am",second year,ece,male,never,6-7 hours,often (5-6 times a week),average,always,rarely,rarely (1-2 times a month),minor impact,every night,never,never,high stress,average
"15/4/2026, 9:45:13 am",second year,ece,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),poor,sometimes,never,sometimes (1-2 times a week),severe impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),no stress,below average
"15/4/2026, 9:45:18 am",second year,eee,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,sometimes,rarely,sometimes (1-2 times a week),moderate impact,every night,sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,excellent
"15/4/2026, 9:45:22 am",first year,ece,female,every night,5-6 hours,often (5-6 times a week),good,sometimes,never,never,minor impact,often (5-6 times a week),never,every day,no stress,average
"15/4/2026, 9:45:24 am",second year,cse,male,sometimes (3-4 times a week),5-6 hours,often (5-6 times a week),average,often,sometimes,sometimes (1-2 times a week),minor impact,sometimes (3-4 times a week),every day,every day,extremely high stress,average
"15/4/2026, 9:45:31 am",second year,cse,female,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),good,often,sometimes,rarely (1-2 times a month),minor impact,every night,every day,every day,high stress,good
"15/4/2026, 9:45:39 am",second year,cse,female,every night,5-6 hours,often (5-6 times a week),good,sometimes,often,never,moderate impact,every night,never,often (5-6 times a week),high stress,good
"15/4/2026, 9:45:41 am",second year,eee,male,often (5-6 times a week),6-7 hours,often (5-6 times a week),good,always,always,rarely (1-2 times a month),moderate impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),low stress,average
"15/4/2026, 9:45:52 am",second year,mechanical,female,every night,5-6 hours,often (5-6 times a week),average,sometimes,often,never,moderate impact,every night,often (5-6 times a week),every day,high stress,below average
"15/4/2026, 9:45:57 am",second year,other,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,often,always,never,minor impact,rarely (1-2 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),no stress,below average
"15/4/2026, 9:45:57 am",second year,cse,male,often (5-6 times a week),6-7 hours,often (5-6 times a week),good,sometimes,always,rarely (1-2 times a month),minor impact,every night,sometimes (3-4 times a week),never,extremely high stress,average
"15/4/2026, 9:46:12 am",second year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,sometimes,rarely,often (3-4 times a week),minor impact,often (5-6 times a week),sometimes (3-4 times a week),every day,high stress,excellent
"15/4/2026, 9:46:15 am",second year,cse,female,sometimes (3-4 times a week),6-7 hours,rarely (1-2 times a week),good,sometimes,never,rarely (1-2 times a month),moderate impact,every night,rarely (1-2 times a week),never,high stress,average
"15/4/2026, 9:46:16 am",second year,eee,male,sometimes (3-4 times a week),5-6 hours,sometimes (3-4 times a week),average,often,rarely,rarely (1-2 times a month),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),rarely (1-2 times a week),no stress,good
"15/4/2026, 9:46:24 am",first year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),poor,sometimes,rarely,sometimes (1-2 times a week),major impact,every night,often (5-6 times a week),rarely (1-2 times a week),extremely high stress,good
"15/4/2026, 9:46:35 am",second year,cse,male,sometimes (3-4 times a week),7-8 hours,often (5-6 times a week),good,always,always,rarely (1-2 times a month),major impact,never,never,every day,high stress,excellent
"15/4/2026, 9:46:43 am",first year,cse,male,rarely (1-2 times a week),4-5 hours,often (5-6 times a week),poor,rarely,often,rarely (1-2 times a month),moderate impact,every night,never,sometimes (3-4 times a week),low stress,average
"15/4/2026, 9:46:45 am",second year,cse,male,rarely (1-2 times a week),4-5 hours,often (5-6 times a week),poor,sometimes,sometimes,sometimes (1-2 times a week),severe impact,often (5-6 times a week),never,every day,low stress,poor
"15/4/2026, 9:46:50 am",second year,eee,male,often (5-6 times a week),less than 4 hours,rarely (1-2 times a week),average,sometimes,often,rarely (1-2 times a month),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,below average
"15/4/2026, 9:46:58 am",fourth year,cse,male,sometimes (3-4 times a week),5-6 hours,rarely (1-2 times a week),poor,always,rarely,rarely (1-2 times a month),minor impact,every night,never,rarely (1-2 times a week),high stress,average
"15/4/2026, 9:47:02 am",second year,cse,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,always,rarely,never,moderate impact,rarely (1-2 times a week),rarely (1-2 times a week),never,high stress,excellent
"15/4/2026, 9:47:02 am",second year,eee,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),poor,rarely,never,sometimes (1-2 times a week),major impact,every night,often (5-6 times a week),rarely (1-2 times a week),low stress,average
"15/4/2026, 9:47:11 am",second year,cse,female,never,4-5 hours,often (5-6 times a week),average,often,rarely,sometimes (1-2 times a week),moderate impact,every night,rarely (1-2 times a week),sometimes (3-4 times a week),high stress,good
"15/4/2026, 9:47:12 am",second year,ece,male,rarely (1-2 times a week),5-6 hours,every night,average,always,always,rarely (1-2 times a month),major impact,every night,sometimes (3-4 times a week),often (5-6 times a week),extremely high stress,below average
"15/4/2026, 9:47:28 am",second year,ece,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),good,often,never,often (3-4 times a week),moderate impact,often (5-6 times a week),never,rarely (1-2 times a week),extremely high stress,good
"15/4/2026, 9:47:32 am",second year,ece,male,sometimes (3-4 times a week),more than 8 hours,rarely (1-2 times a week),average,sometimes,sometimes,rarely (1-2 times a month),moderate impact,every night,sometimes (3-4 times a week),rarely (1-2 times a week),low stress,average
"15/4/2026, 9:47:35 am",second year,mechanical,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,sometimes,sometimes,rarely (1-2 times a month),major impact,every night,often (5-6 times a week),rarely (1-2 times a week),high stress,average
"15/4/2026, 9:47:35 am",second year,cse,female,rarely (1-2 times a week),less than 4 hours,often (5-6 times a week),average,often,sometimes,rarely (1-2 times a month),minor impact,rarely (1-2 times a week),never,often (5-6 times a week),high stress,excellent
"15/4/2026, 9:47:41 am",fourth year,cse,male,sometimes (3-4 times a week),less than 4 hours,often (5-6 times a week),poor,always,never,sometimes (1-2 times a week),major impact,every night,rarely (1-2 times a week),rarely (1-2 times a week),high stress,average
"15/4/2026, 9:47:46 am",second year,eee,female,every night,6-7 hours,often (5-6 times a week),very poor,often,always,often (3-4 times a week),minor impact,every night,rarely (1-2 times a week),sometimes (3-4 times a week),high stress,good
"15/4/2026, 9:47:52 am",first year,mechanical,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,rarely,sometimes,rarely (1-2 times a month),moderate impact,rarely (1-2 times a week),sometimes (3-4 times a week),never,low stress,average
"15/4/2026, 9:48:03 am",second year,cse,male,never,5-6 hours,rarely (1-2 times a week),good,sometimes,rarely,always,moderate impact,every night,rarely (1-2 times a week),rarely (1-2 times a week),high stress,average
