Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 18:11:45,graduate student,male,every night,7-8 hours,every night,good,always,often,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),low stress,poor
10/24/2024 18:12:27,third year,male,often (5-6 times a week),7-8 hours,every night,very good,rarely,sometimes,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
10/24/2024 18:12:45,third year,male,never,4-5 hours,sometimes (3-4 times a week),good,often,sometimes,rarely (1-2 times a month),major impact,rarely (1-2 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,poor
10/24/2024 18:13:32,third year,female,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),good,rarely,sometimes,sometimes (1-2 times a week),minor impact,sometimes (3-4 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,below average
10/24/2024 18:17:08,graduate student,male,every night,7-8 hours,rarely (1-2 times a week),very good,sometimes,often,often (3-4 times a week),minor impact,rarely (1-2 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,poor
10/24/2024 18:17:57,second year,male,often (5-6 times a week),more than 8 hours,every night,average,rarely,sometimes,rarely (1-2 times a month),minor impact,often (5-6 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,poor
10/24/2024 18:18:17,graduate student,female,every night,7-8 hours,every night,very good,often,often,often (3-4 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/24/2024 18:18:41,third year,female,every night,7-8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),low stress,below average
10/24/2024 18:19:06,graduate student,male,sometimes (3-4 times a week),7-8 hours,every night,very good,always,often,sometimes (1-2 times a week),major impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,below average
10/24/2024 18:19:23,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),average,sometimes,often,often (3-4 times a week),major impact,rarely (1-2 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,below average
10/24/2024 18:19:58,first year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,rarely,rarely,never,severe impact,often (5-6 times a week),sometimes (3-4 times a week),every day,high stress,below average
10/24/2024 18:20:21,graduate student,female,often (5-6 times a week),7-8 hours,every night,good,often,always,often (3-4 times a week),minor impact,rarely (1-2 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,below average
10/24/2024 18:20:41,graduate student,male,every night,6-7 hours,often (5-6 times a week),good,often,often,always,major impact,sometimes (3-4 times a week),often (5-6 times a week),sometimes (3-4 times a week),no stress,poor
10/24/2024 18:21:05,graduate student,male,every night,6-7 hours,often (5-6 times a week),very good,often,always,often (3-4 times a week),major impact,every night,often (5-6 times a week),sometimes (3-4 times a week),high stress,below average
10/24/2024 18:21:30,first year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,always,sometimes,often (3-4 times a week),minor impact,often (5-6 times a week),rarely (1-2 times a week),often (5-6 times a week),high stress,poor
10/24/2024 18:22:03,third year,female,often (5-6 times a week),7-8 hours,every night,poor,sometimes,always,often (3-4 times a week),minor impact,sometimes (3-4 times a week),often (5-6 times a week),never,high stress,below average
10/24/2024 18:22:22,first year,female,every night,more than 8 hours,every night,poor,sometimes,sometimes,rarely (1-2 times a month),minor impact,rarely (1-2 times a week),rarely (1-2 times a week),rarely (1-2 times a week),no stress,poor
10/24/2024 18:22:26,third year,female,every night,7-8 hours,often (5-6 times a week),average,sometimes,often,often (3-4 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),rarely (1-2 times a week),high stress,poor
10/24/2024 18:22:51,third year,female,every night,7-8 hours,often (5-6 times a week),good,sometimes,always,often (3-4 times a week),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,below average
10/24/2024 18:23:09,third year,male,every night,7-8 hours,often (5-6 times a week),average,often,often,sometimes (1-2 times a week),major impact,often (5-6 times a week),sometimes (3-4 times a week),every day,high stress,below average
10/24/2024 18:23:51,third year,female,often (5-6 times a week),6-7 hours,sometimes (3-4 times a week),good,sometimes,often,always,moderate impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),low stress,average
10/24/2024 18:24:47,graduate student,female,often (5-6 times a week),6-7 hours,often (5-6 times a week),good,sometimes,often,rarely (1-2 times a month),major impact,often (5-6 times a week),often (5-6 times a week),every day,high stress,poor
10/24/2024 18:25:43,graduate student,female,every night,more than 8 hours,often (5-6 times a week),good,often,sometimes,always,moderate impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/24/2024 18:26:17,third year,male,often (5-6 times a week),more than 8 hours,every night,very good,often,always,often (3-4 times a week),moderate impact,sometimes (3-4 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/24/2024 18:26:44,graduate student,male,often (5-6 times a week),7-8 hours,every night,very good,often,often,always,minor impact,rarely (1-2 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),no stress,poor
10/24/2024 18:27:03,third year,male,sometimes (3-4 times a week),7-8 hours,every night,average,never,rarely,sometimes (1-2 times a week),minor impact,sometimes (3-4 times a week),rarely (1-2 times a week),rarely (1-2 times a week),high stress,average
10/24/2024 18:27:21,graduate student,male,rarely (1-2 times a week),more than 8 hours,often (5-6 times a week),very good,rarely,rarely,rarely (1-2 times a month),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,poor
